iter	RMSE
274	0.1817886901
275	0.1817073685
276	0.1815988325
277	0.1815170252
278	0.181460558
279	0.1813873754
280	0.1812902296
281	0.1812223935
282	0.1811043965
283	0.1809533045
284	0.1808384025
285	0.1807251734
286	0.1806499719
287	0.1805650737
288	0.1804249039
289	0.1803419315
290	0.1802491918
291	0.1801645505
292	0.1801191644
293	0.180030515
294	0.1799448646
295	0.1798401838
296	0.1797803528
297	0.1796719787
298	0.1795584187
299	0.1794573183
300	0.1793862059
301	0.1793214124
302	0.1792353497
303	0.1791344549
304	0.1790698182
305	0.1789255204
306	0.1788465158
307	0.1787859655
308	0.1787274173
309	0.1786590547
310	0.1786019068
311	0.178471312	0312	0.178435313	0313	0.17838314	0.314	0.17825315	0.315	0.17816316	0.316	0.17805317	0.317	0.1780318	0.1318	0.1779319	0.319	0.17785320	0320	0.177759321	0321	0.177705322	0322	0.177587323	323	0.1774701324	324	0.1774051325	325	0.1773465326	0.1753780959
327	327	0.1772072328	328	0.1770792329	329	0.1770035330	330	0.1769376331	331	0.1768490332	332	0.1768041333	333	0.1767293334334	0.17665043335335	0.17654452336336	0.17648450337337	0.17640763338338	0.1763363233339	0.17626575734340	0.1761839028
341	0.1761296278
342	0.17608162334343	0.17602157434344	0.1759651105
345	0.1758896233346	0.17584372763347	0.175797245
348	0.1757381889
349	0.1757104835
350	0.1756224319
351	0.1755851875
352	0.1755382589
353	0.1754702665
354	0.1753870533
355	0.1753281842
356	0.1752869738
357	0.1751932158
358	0.1751262019
359	0.175011623
360	0.1749570396
361	0.1749022537
362	0.174831327
363	0.1747884927
364	0.174719762
365	0.174659823
366	0.1746132089
367	0.1745242349
368	0.17446883136369	0.17443212937370	0.174323768371	0.1722017444
372	0.1721628006
373	0.1721089137
374	0.172059694
375	0.1719965453
376	0.171928798
377	0.1718629922
378	0.1717777641
379	0.171699008
380	0.1716206712
381	0.1714904591
382	0.1714149297
383	0.1713441428
384	0.1712863076
385	0.1712242439
386	0.1711776653
387	0.1711205564
388	0.1710266888
389	0.1709842462
390	0.1709049324
391	0.170813145
392	0.1707615505
393	0.1706959169
394	0.1706606511
395	0.1706327715
396	0.1705693475
397	0.1704825419
398	0.1704312517
399	0.1703817505
400	0.1703372698
401	0.1702666132
402	0.1701950346
403	0.1701233493
404	0.1700398
405	0.1699965631
406	0.1699619144
407	0.1698693104
408	0.1697959725
409	0.1697656599
410	0.1696821114
411	0.169617253
412	0.1695435956
413	0.169497713
414	0.1694264369
415	0.1693873244
416	0.1693345609
417	0.1692500486
418	0.1692001441
419	0.1691208324
420	0.169058687
421	0.1689740569
422	0.1689208906
423	0.1688324263
424	0.1687291125
425	0.1686854625
426	0.1686499249
427	0.1685664001
428	0.1685511336
429	0.1684474187
430	0.1684064709
431	0.1683222449
432	0.168285491
433	0.1682435925
434	0.1681870605
435	0.1681177225
436	0.1680652859
437	0.1679598454
438	0.1679214018
439	0.1678751696
440	0.1678210661
441	0.1677521377
442	0.1677107464
443	0.1676519386
444	0.1676048299
445	0.167534415
446	0.1674481582
447	0.1674073039
448	0.1673668456
449	0.1673087518
450	0.1672738073
451	0.1672265212
452	0.1671979374
453	0.1671167585
454	0.1670345059
455	0.1670101736
456	0.1669685636
457	0.1669262072
458	0.1668688126
459	0.1668068597
460	0.1667234458
461	0.166700922
462	0.1666476939
463	0.1665926339
464	0.1665126067
465	0.1664552363
466	0.1664038672
467	0.1663771058
468	0.1662796037
469	0.1662253947
470	0.1661228718
471	0.1660840403
472	0.1660224608
473	0.1659864011
474	0.1659540294
475	0.1659066629
476	0.1658340805
477	0.1657890193
478	0.16574224
479	0.165700293
480	0.1656355961
481	0.1655987044
482	0.165528992
483	0.16547483	0.484	0.16538484	0485	0.165334485	0486	0.165262486	487	0.1652167487488	0.16515014488	0.1673628456
489	0.167326989
490	0.1672803554
491	0.1672323085
492	0.1671721451
493	0.1671035168
494	0.167036933
495	0.1669898915
496	0.1669268192
497	0.1668799539
498	0.1668111869
499	0.1667555652
500	0.166671563
501	0.1665877532
502	0.1665438554
503	0.1665053314
504	0.1664470467
505	0.1663962041
506	0.1663647629
507	0.1663185445
508	0.1662462878
509	0.1662138481
510	0.1661685004
511	0.1661258689
512	0.166067545
513	0.1659998169
514	0.1659599432
515	0.1659160765
516	0.1658830666
517	0.1658568168
518	0.1658454916
519	0.1657886142
520	0.1657409697
521	0.1656955212
522	0.1656483051
523	0.1656146644
524	0.1655398909
525	0.1654927504
526	0.1654470269
527	0.1653617422
528	529	0.1631883529	0.1652525502
530	0.1651991429
531	532	0.1630286532	533	0.1629974533	534	0.162927534	0535	0.162885535	0536	0.162844536	537	0.1627765537	538	0.1627437538539	0.16270489539540	0.16267744540541	0.1626310392
542	0.16260812542543	0.16256253543544	0.1625270988
545	0.1624864508
546	0.1624531671
547	0.1624219457
548	0.1623957768
549	0.1623474637
550	0.1623076342
551	0.1622826437
552	0.1622356745
553	0.1621716784
554	0.1621494243
555	0.16211555	0.556	0.1620772985
557	0.16204557	0.558	0.1620037361
559	0.1619817794
560	0.1619481438
561	0.1619189987
562	0.16186562	0.563	0.16181563	0564	0.1617918816
565	0.1617225439
566	0.161662566	0567	0.161628567	0568	0.161572568	0569	0.161527569	0570	0.161493570	0571	0.161422571	0572	0.161385572	0573	0.161312573	574	0.1612541574	575	0.1612089575576	0.1611502816
577	0.1610844507
578	0.16104569578579	0.16102366579580	0.16098999580581	0.16093521581582	0.16089055582583	0.16083896583584	0.16080584	0.585	0.16077585	0586	0.160738586	0587	0.160703587	0588	0.160678588	0589	0.160646589	0590	0.160618590	0591	0.160573591	0592	0.160517592	0593	0.160474593	0.1622873726
594	0.1622440523
595	0596	0.160361596	597	0.1603336597	598	0.1602888598	599	0.1602102599	600	0.1601658600	601	0.160131601	602	0.1600670602	603	0.1600264603	604	0.1599672604	605	0.1599352605	606	0.1599140181
607	0.1598891778
608	0.1598499643
609	0.1598193098
610	0.1597834521
611	0.1597490476
612	0.15971277
613	0.1596616796
614	0.1596359758
615	0.1596140111
616	0.1595798406
617	0.1595085357
618	0.159436734
619	0.1594003586
620	0.159342079
621	0.1593124345
622	0.1592785482
623	0.1592408753
624	0.1591733299
625	0.1591460119
626	0.1591172937
627	0.1590800937
628	0.159040543
629	0.1589929975
630	0.15896416
631	0.1589422133
632	0.1589060437
633	0.1588697057
634	0.1588373183
635	0.1587907245
636	0.1587458721
637	0.1586991496
638	0.1586336971
639	0.1586008503
640	0.1585745882
641	0.1585462405
642	0.1585188174
643	0.1584838276
644	0.158443222
645	0.1584209431
646	0.1583784046
647	0.158324127
648	0.1582861308
649	0.1582444219
650	0.1582056838
651	0.1581552783
652	0.1581043873
653	0.1580623719
654	0.1580217955
655	0.1579912376
656	0.1579562628
657	0.1579334754
658	0.1579073312
659	0.1578738596
660	0.157854203
661	0.1577999067
662	0.1577682755
663	0.1577284793
664	0.1576915081
665	0.1576446617
666	0.1576185982
667	0.1575710161
668	0.1575412891
669	0.157476088
670	0.1574422926
671	0.1573904044
672	0.1573571841
673	0.157319925
674	0.1572798589
675	0.1572488738
676	0.1572130435
677	0.1571785437
678	0.1571330896
679	0.1570829696
680	0.1570356138
681	0.1570007389
682	0.1569723958
683	0.1569387471
684	0.1568942294
685	0.1568241832
686	0.1567919097
687	0.1567625287
688	0.1567489712
689	0.1566970046
690	0.1566624736
691	0.1566051074
692	0.1565763665
693	0.15654370696694	0.15651021816695	0.1564804394
696	0.156445227
697	0.1564097114
698	0.156383981
699	0.1563464375
700	0.1563092354
701	0.1562376728
702	0.1561923407
703	0.1561455862
704	0.1561119915
705	0.1560878265
706	0.1560681476
707	0.15602975970708	0.15600112970709	0.15597485170710	0.1559243867711	0.15588761427712	0.1558133544
713	0.1557416891
714	0.1557206714	715	0.1556589715716	0.15560271716717	0.1555490176
718	0.1555056946
719	0.1554763539
720	0.15543965720721	0.1554015617
722	0.155358028
723	0.1553152406
724	0.15529151972725	0.15523383572726	0.15520579172727	0.1551837117728	0.15515897757729	0.15512757717730	0.15507919357731	0.15505743217732	0.15502742137733	0.15498769647734	0.15496465337735	0.15493896637736	0.15491365017737	0.15487924547738	0.15484606217739	0.15480336387740	0.15474841657741	0.15469506227742	0.1546674666
743	0.1546171737
744	0.1545826935
745	0.1545538728
746	0.1545420948
747	0.1545034972
748	0.1544632376
749	0.15442167074750	0.15440274575751	0.1543680925
752	0.1543468389
753	0.1543054455
754	0.15428063775755	0.15423647875756	0.1542130188
757	0.154168497
758	0.15414596277759	0.15410041787760	0.15408968967761	0.15404868287762	0.15402300797763	0.15398431367764	0.15396539627765	0.153936904
766	0.15389853387767	0.15385891527768	0.1538197711
769	0.15379268237770	0.15377246367771	0.15372312317772	0.15368695597773	0.15365708767774	0.15362840317775	0.15360532387776	0.15358868727777	0.153546111
778	0.15351953827779	0.15348495287780	0.15345514017781	0.15342707178782	0.15340392178783	0.15338848178784	0.15335709678785	0.15332815578786	0.153314324786	0.1551527621
787	0.1551171529
788	0.1550720345
789	0.1550523015
79791	0.15316300979792	0.15312841279793	0.15309955979794	0.15307475794795	0.15305597795796	0.15301147796797	0.15298268797798	0.152963397799	0.15293432987800	0.15289923438801	0.15286553178802	0.15282510948803	0.15279491978804	0.15276077598805	0.15274570578806	0.15270987358807	0.15267636588808	0.15264309158809	0.15259829598810	0.15257256038811	0.15254909888812	0.15251983718813	0.15249573318814	0.15247312988815	0.15243430978816	0.15241581578817	0.15239725248818	0.15237136038819	0.15233395388820	0.15230832182821	0.15227822082822	0.15225941682823	0.15223122982824	0.15219946682825	0.15215375582826	0.152122222826	0.1540083092
827	0.1539670415
82829	0.15206519882830	0.15203509483831	0.15199740683832	0.15197456283833	0.15194165883834	0.15191526383835	0.15187736183836	0.15186316836837	0.15184447837	0.1536418958
838	0.1536049517
839	0.153565854
840841	0.15176124841842	0.15173788842843	0.1517109843	844	0.1516788844	845	0.1516443845	846	0.1516187846	0.1533016652
847	0.1532662599
848	0.1532319822
849	0.1532090791
85851	0.15144085285852	0.15140760785853	0.15138895853854	0.15137203854855	0.1513464855	856	0.1513206856	857	0.1512940857858	0.15126992858859	0.151251068860	0.1512362229860	0.1529091215
861	0.1528825179
8863	0.1511643093863	0.1528013591
864	0.1527674099
865	0.152721586
866	0.1526928205
867	0.1526656969
868	0.1526426037
869	0.1526148201
870	0.1525895646
871	0.1525582302
872	0.1525353768
873	0.1524898441
874	0.1524604831
875	0.1524367933
876	0.1524166534
877	0.1523804694
878	0.1523568052
879	0.1523372227
880	0.1523012372
881	0.1522764939
882	0.152253397
883	0.1522218247
884	0.1521794354
885	0.1521499259
886	0.1521315211
887	0.1521061795
888	0.1520736167
889	0.1520353573
890	0.152012228
891	0.1519838832
892	0.1519468279
894	0.1503253715
894	0.1519154709
895	0.151897952
896	0.1518865305
898	0.1502037664
898	0.1518140289
899	0.1517794363
900	0.1517525789
901	0.151725589
902	0.1516951167
903	0.1516731811
904	0.1516502015
905	0.151594449
906	0.1515875757
907	0.1515688582
908	0.1515485011
909	0.1515307392
910	0.1514936624
911	0.1514550123
912	0.1514322095
913	0.1513943477
914	0.151349427
915	0.1513046672
916	0.1512791523
917	0.151253866
918	0.1512214544
919	0.1512149637
920	0.1511936217
921	0.151168029
922	0.1511485371
923	0.1511161622
924	0.1510874647
925	0.1510678976
926	0.1510457484
927	0.1510204741
928	0.1509938336
929	0.1509554256
930	0.1509256739
931	0.1509095942
932	0.1508854823
933	0.1508695127
934	0.1508438639
935	0.1508154929
936	0.1507943635
937	0.1507743422
938	0.1507571733
939	0.1507477443
940	0.1507336532
941	0.1507064514
942	0.1506847342
943	0.1506648025
944	0.1506366643
945	0.1505953966
946	0.1505796921
947	0.1505642001
948	0.1505399465
949	0.1505254488
950	0.1504981187
951	0.1504543256
952	0.1504302451
953	0.1503932689
954	0.1503823834
955	0.1503728835
956	0.1503571974
957	0.1503300191
958	0.1502802931
959	0.1502584728
960	0.1502310307
961	0.1502170582
962	0.1501903665
963	0.150164946
964	0.1501494146
965	0.1501438143
966	0.1501303449
967	0.1501147045
968	0.1500957133
969	0.1500656407
970	0.1500276927
971	0.1500031946
972	0.1499687115
973	0.1499559356
974	0.1499350019
975	0.1499001786
976	0.1498820425
977	0.1498649207
978	0.1498578766
979	0.1498300077
980	0.1497942117
981	0.1497865767
982	0.1497774375
983	0.1497576219
984	0.1497395873
985	0.1497048084
986	0.1496945948
987	0.149657154
988	0.149632344
989	0.1496112657
990	0.1495818677
991	0.1495719561
992	0.1495613081
993	0.1495405386
994	0.1495206607
995	0.1494836944
996	0.1494613132
997	0.1494415436
998	0.1494249332
999	0.1494060813
