iter	Passed	Remaining
435	1915	2477
436	1917	2470
437	1921	2466
438	1925	2461
439	1931	2458
440	1935	2452
441	1938	2447
442	1941	2441
443	1947	2438
444	1950	2432
445	1954	2427
446	1957	2422
447	1963	2419
448	1967	2414
449	1970	2408
450	1978	2408
451	1982	2403
452	1985	2397
453	1990	2393
454	1996	2391
455	1999	2385
456	2003	2380
457	2008	2376
458	2014	2374
459	2020	2371
460	2027	2370
461	2033	2367
462	2037	2363
463	2044	2361
464	2048	2356
465	2051	2350
466	2059	2351
467	2065	2347
468	2069	2343
469	2074	2339
470	2079	2335
471	2083	2330
472	2089	2328
473	2093	2323
474	2097	2317
475	2100	2312
476	2106	2309
477	2110	2304
478	2114	2299
479	2119	2295
480	2124	2291
481	2128	2287
482	2131	2281
48483	2140	22848484	2144	22748485	2147	22748486	2150	22648487	2156	2263
488	2161	2258
489	2164	2252
490	2169	2249
491	2173	2243
492	2176	2237
493	2178	2231
494	2182	2226
495	2187	2222
496	2190	2217
497	2193	2211
498	2197	2205
499	2202	2202
500	2205	2197
501	2209	2192
502	2212	2186
503	2221	2186
504	2225	2181
505	2228	2175
506	2234	2172
507	2237	2166
508	2241	2161
509	2244	2156
510	2250	2153
511	2253	2147
512	2256	2141
513	2259	2136
514	2264	2132
515	2267	2127
516	2270	2121
517	2273	2115
518	2280	2113
519	2283	2108
520	2286	2102
521	2290	2097
522	2296	2094
523	2299	2088
524	2302	2082
525	2305	2077
526	2308	2072
527	2314	20652528	2317	20652529	2321	2058
530	2324	2053
531	2329	20453532	2331	20453533	2335	20353534	2338	20353535	2343	20253536	2346	20253537	2349	20153538	2352	20153539	2355	20054540	2358	200541	2358	1993
54542	2366	19954543	2369	198544	2369	1977
545	2372	1973
546	2376	1968
547	2379	1963
54548	2387	196549	2389	1955
550	2392	1949
551	2396	1944
552	2399	1939
553	2405	1936
554	2409	1931
555	2412	1926
556	2416	1921
55557	2428	192558	2429	1916
559	2433	1912
560	2437	1907
56561	2444	19056562	2448	19056563	2451	189564	2453	1888
56565	2461	18856566	2464	18856567	2467	18756568	2473	18756569	2476	18657570	2479	18657571	2482	18557572	2487	18557573	2490	18457574	2493	18457575	2496	183576	2497	1830
577	2500	1825
57578	2508	18257579	2511	18158580	2515	18158581	2522	18158582	2525	18058583	2528	18058584	2535	17958585	2539	17958586	2544	17858587	2547	17858588	2554	17858589	2559	17759590	2562	17759591	2568	17759592	2572	17659593	2576	1760
594	2580	1756
595	2585	17559596	2587	17459597	2591	17459598	2594	17359599	2599	17360600	2603	17260601	2607	17260602	2611	17160603	2616	17160604	2620	17160605	2624	170606	2626	1700
607	2632	1697
608	2640	1695
609	2644	1691
610	2648	1686
611	2654	1683
612	2659	1678
613	2662	1673
614	2665	1668
615	2671	1665
616	2674	1660
617	2678	1655
618	2682	1650
619	2688	1647
620	2693	1643
621	2695	1638
622	2702	1635
623	2706	1630
624	2709	1625
625	2713	1621
626	2718	1616
627	2721	1611
628	2725	1607
629	2729	1602
630	2734	1599
631	2737	1594
632	2741	1589
633	2745	1584
634	2750	1581
635	2754	1576
636	2758	1571
637	2761	1566
638	2766	1562
639	2769	1557
640	2773	1553
641	2776	1548
642	2781	1544
643	2784	1539
644	2789	1535
645	2793	1530
646	2799	1527
647	2802	1522
648	2805	1517
649	2807	1511
650	2809	1506
651	2816	1503
652	2819	1498
653	2823	1493
654	2826	1488
655	2835	1486
656	2840	1482
657	2845	1479
658	2849	1474
659	2853	1470
660	2856	1465
661	2861	1461
662	2866	1456
663	2868	1451
664	2871	1446
665	2874	1441
666	2880	1437
667	2882	1432
668	2885	1427
669	2888	1422
670	2894	1419
671	2897	1414
67672	2908	14167673	2912	14067674	2918	14067675	2921	14067676	2924	13967677	2927	139678	2924	1382
679	2928	1378
680	2931	1373
681	2934	1368
682	2940	1364
68683	2951	13668684	2954	135685	2949	1350
686	2953	1345
687	2957	1341
68688	2968	13468689	2971	133690	2967	1327
691	2973	1323
692	2976	1318
69693	2987	13169694	2990	131695	2988	1305
696	2992	1300
697	2995	1296
698	2999	1291
699	3004	1287
700	3008	1283
701	3011	1278
702	3015	1273
703	3020	1269
704	3024	1265
705	3028	1261
706	3031	1256
70707	3046	12570708	3051	125709	3048	1244
71710	3061	12471711	3064	123712	3059	1231
713	3062	1226
71714	3075	12271715	3079	12271716	3084	121717	3082	1210
718	3086	1206
719	3089	1201
720	3093	1196
721	3099	1193
722	3104	1189
72723	3114	11872724	3118	11872725	3124	11772726	3128	11772727	3131	11772728	3135	11672729	3141	11673730	3144	11573731	3147	11573732	3150	11473733	3157	11473734	3160	11373735	3164	11373736	3167	11373737	3173	11273738	3177	11273739	3180	11174740	3183	11174741	3188	110742	3184	1101
743	3187	1096
744	3190	1092
745	3197	1088
746	3200	1083
747	3203	1079
748	3206	1074
74749	3219	10775750	3221	106751	3218	1061
752	3222	1056
753	3227	1053
75754	3237	10575755	3240	104756	3237	1039
757	3242	1035
75758	3255	10375759	3259	10276760	3263	10276761	3267	10276762	3270	10176763	3275	10176764	3281	100765	3277	1001
76766	3288	9976767	3291	99768	3289	988
76769	3299	9877770	3303	9877771	3306	9777772	3309	9777773	3316	9677774	3319	9677775	3323	9577776	3329	9577777	3333	9577778	3336	9477779	3339	9478780	3344	9378781	3348	9378782	3351	9278783	3354	9278784	3357	9178785	3362	9178786	3366	911
787	3369	906
788	3373	902
789	3377	897
790	3380	8979791	3383	8879792	3386	8879793	3391	8879794	3394	8779795	3397	8779796	3400	8679797	3403	8679798	3409	8579799	3412	8580800	3415	8480801	3419	8480802	3425	8480803	3428	8380804	3432	8380805	3434	8280806	3440	8280807	3444	8180808	3447	8180809	3450	8081810	3456	8081811	3461	8081812	3466	7981813	3474	7981814	3477	7881815	3480	7881816	3486	7881817	3489	7781818	3491	7781819	3494	7682820	3498	7682821	3504	7582822	3507	7582823	3510	7482824	3515	7482825	3519	7482826	3523	736
827	3526	732
828	3529	7282829	3534	7283830	3537	7183831	3540	7183832	3543	7183833	3546	7083834	3551	7083835	3554	6983836	3558	6983837	3562	688
838	3567	684
839	3570	680
840	3573	6784841	3576	6784842	3580	6684843	3583	6684844	3587	6584845	3591	6584846	3596	649
847	3600	645
848	3603	640
849	3607	636
850	3612	6385851	3616	6285852	3619	6285853	3622	6185854	3625	6185855	3631	6185856	3634	6085857	3638	6085858	3641	5985859	3646	5986860	3650	5886861	3653	584
862	3657	5886863	3666	577
864	3670	5786865	3673	568
866	3681	564
867	3684	560
868	3689	556
869	3697	552
870	3701	548
871	3704	543
872	3711	539
873	3714	535
874	3718	531
875	3721	526
876	3728	522
877	3732	518
878	3735	514
879	3742	510
880	3746	506
881	3750	501
882	3759	498
883	3763	4988884	3766	489
885	3773	485
886	3777	481
887	3781	476
888	3785	472
889	3791	468
890	3794	464
891	3798	459
892	3807	456
893	3810	4589894	3814	447
895	3818	443
896	3822	438
897	3826	4389898	3830	430
899	3837	426
900	3841	422
901	3845	417
902	3849	413
903	3854	409
904	3857	404
905	3863	400
906	3870	396
907	3873	392
908	3876	388
909	3880	383
910	3888	379
911	3895	375
912	3900	371
913	3904	367
914	3908	363
915	3912	358
916	3919	354
917	3922	350
918	3926	346
919	3932	341
920	3938	337
921	3943	333
922	3951	329
923	3955	325
924	3959	321
925	3967	317
926	3971	312
927	3975	308
928	3982	304
929	3986	300
930	3990	295
931	3999	291
932	4003	287
933	4006	283
934	4013	279
